Data,Dia da Semana,Hora Litúrgica,Título,Texto Litúrgico,
2025/08/24,domingo,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1w-oKPVKnl4z6Y8hUVq9wmExOEI1jY-26k6Hxs-Tnl3Y/edit?usp=sharing,
2025/08/24,domingo,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/24,domingo,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/24,domingo,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/24,domingo,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/24,domingo,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/1oKat70kPR592YlzZVwAtM1w4f_-NRIFK-SAqxgNNjLM/edit?usp=sharing,
2025/08/24,domingo,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/25,Segunda,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/26,Terça,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/26,Terça,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
